name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
존 윅,2015-01-21,110661,321,114873,321,northA,19,Action/Criminal,2300,0,3092,792,(주)나이너스엔터테인먼트,"데이빗 레이치,채드 스타헬스키","키아누 리브스,애드리앤 팰리키,윌렘 데포",554034.5,605841.5,276304,300130,329623.33333,410152.33333,Wed,0,2,4
내 심장을 쏴라,2015-01-28,339201,452,382608,452,korea,15,Drama,6101,0,6860,759,"(주)리틀빅픽쳐스,(주)이수C&E",문제용,"이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,강영묵,정유정,권소영,이규섭,김재화,엄효섭,김보라",5098652.6667,6489376.1667,339201,382608,421677.18803,527658.26496,Wed,0,2,4
워터 디바이너,2015-01-28,123600,326,134531,326,northA,15,Drama,843,0,925,82,롯데쇼핑㈜롯데엔터테인먼트,러셀 크로우,"러셀 크로우,올가 쿠릴렌코,제이 코트니",2530475.5,3312987,123600,134531,761607.21053,990233.84211,Wed,0,2,4
쎄시봉,2015-02-05,875073,829,1226283,829,korea,15,Melo/Romance,-12360,0,12076,24436,씨제이이앤엠(주),김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효",10669028.967,16535189.867,875073,1226283,965818.5,1527981.32,Thu,0,2,5
주피터 어센딩,2015-02-05,295468,561,308880,561,northA,12,SF/Fantasy/Adventure,1176,0,1428,252,워너브러더스 코리아(주),"라나 워쇼스키,앤디 워쇼스키","밀라 쿠니스,채닝 테이텀,숀 빈,테리 길리엄,배두나",3211434.5,4078882.5,590936,617760,898054.19231,1389867.7308,Thu,0,2,5
최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,93028,318,127712,318,korea,All,Animation,1732,0,2052,320,에이원엔터테인먼트,이영준,"엄상현,전태열,신용우",476260.86667,581045.06667,90211.5,119990,93028,127712,Thu,0,2,5
조선명탐정 : 사라진 놉의 딸,2015-02-11,1504049,811,3290795,825,korea,12,History,6454,0,7406,952,(주)쇼박스,김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민",11190652.133,20158527.667,1504049,3290795,1813712.1579,2780266.9474,Wed,1,3,7
킹스맨 : 시크릿 에이전트,2015-02-11,1198680,712,2564142,728,northA,19,Action/Criminal,2106,0,2480,374,이십세기폭스코리아(주),매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",2996551.0833,5744644.5667,1198680,2564142,904472.46429,1334770.9286,Wed,1,3,7
도라에몽 : 스탠 바이 미,2015-02-12,235569,432,400129,432,others,All,Animation,13242,0,14244,1002,(주)넥스트엔터테인먼트월드(NEW),"야마자키 타카시,야기 류이치","미즈타 와사비,오오하라 메구미",471138,800258,418467.5,689616.5,856399.86207,1282562.7931,Thu,0,4,7
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,129190,187,218511,187,others,12,Animation,7630,0,8040,410,씨제이이앤엠(주),야마모토 야스이치로,,1,1,208068.66667,276750.66667,965818.5,1527981.32,Thu,0,4,7
